"","estrato1","sex","age","p6240","p6426","ina","maxEducLevel","ocu","dsi","y_total_m_ha"
"850",1,1,25,1,80,NA,4,1,0,4666.66650390625
"853",2,0,28,4,6,NA,7,1,0,4666.66650390625
"856",1,1,50,1,3,NA,5,1,0,7000
"861",2,0,55,1,120,NA,5,1,0,3888.88891601562
"862",2,1,27,1,4,NA,7,1,0,3888.88891601562
"863",2,0,19,1,6,NA,7,1,0,3586.12426757812
"866",3,0,37,1,18,NA,6,1,0,3889.94384765625
"868",1,1,23,1,14,NA,6,1,0,5833.33349609375
"872",3,0,48,1,2,NA,5,1,0,3990.27709960938
"876",3,0,47,1,36,NA,6,1,0,4289.12109375
"880",3,1,33,1,36,NA,6,1,0,2916.66674804688
"881",3,0,33,1,24,NA,6,1,0,2430.5556640625
"882",3,1,47,1,58,NA,5,1,0,3159.72216796875
"883",2,0,54,4,144,NA,4,1,0,4252.5
"887",1,1,22,1,1,NA,6,1,0,5250
"889",2,1,35,1,36,NA,6,1,0,5751.375
"891",2,1,31,1,3,NA,5,1,0,3990.27709960938
"897",1,1,32,1,18,NA,7,1,0,5406.236328125
"898",3,1,67,1,72,NA,4,1,0,NA
"899",3,0,57,4,240,NA,7,1,0,29166.666015625
"900",3,1,30,1,15,NA,7,1,0,8166.66650390625
"903",1,1,47,4,180,NA,6,1,0,2333.33325195312
"905",3,1,45,6,2,NA,6,1,0,4666.66650390625
"906",2,1,52,1,140,NA,7,1,0,4861.111328125
"907",2,0,41,1,96,NA,6,1,0,3786.8056640625
"911",3,0,34,1,24,NA,5,1,0,3500
"915",3,1,23,3,12,NA,7,1,0,4666.66650390625
"917",2,1,32,1,1,NA,6,1,0,3990.27709960938
"919",3,1,32,3,6,NA,7,1,0,6826.53369140625
"920",3,0,28,1,2,NA,7,1,0,4827.2216796875
"923",1,1,35,1,8,NA,6,1,0,6684.70849609375
"924",1,0,34,4,60,NA,3,1,0,4148.14794921875
"925",3,1,27,1,30,NA,7,1,0,5718.82763671875
"926",3,0,30,6,81,NA,7,1,0,21875
"929",3,1,47,1,144,NA,7,1,0,12394.6669921875
"930",3,0,39,1,204,NA,7,1,0,11666.6669921875
"931",3,1,46,1,120,NA,5,1,0,9722.22265625
"932",3,0,36,1,82,NA,6,1,0,2673.61108398438
"935",1,0,61,1,0,NA,4,1,0,1750
"936",1,1,37,1,0,NA,5,1,0,2868.8994140625
"940",1,1,36,1,18,NA,7,1,0,3073.82080078125
"941",1,0,22,6,36,NA,6,1,0,5185.18505859375
"943",2,1,45,1,4,NA,6,1,0,2868.8994140625
"946",2,1,42,1,36,NA,3,1,0,5384.615234375
"947",2,0,23,6,24,NA,7,1,0,2041.66662597656
"948",2,0,33,1,3,NA,6,1,0,8857.0224609375
"949",2,1,64,1,240,NA,4,1,0,2962.962890625
"952",2,1,45,1,240,NA,6,1,0,9722.22265625
"953",2,0,44,1,180,NA,6,1,0,3856.72631835938
"958",2,0,33,4,4,NA,6,1,0,6319.4443359375
"959",2,1,39,1,60,NA,5,1,0,19444.4453125
"960",2,1,35,6,12,NA,7,1,0,6306.30615234375
"962",3,0,42,1,1,NA,6,1,0,4277.08251953125
"963",3,1,40,1,2,NA,7,1,0,5333.33349609375
"972",1,1,24,1,6,NA,5,1,0,2674.27783203125
"973",1,0,27,4,24,NA,4,1,0,7777.77783203125
"975",3,0,48,1,360,NA,3,1,0,3888.88891601562
"976",3,0,22,1,24,NA,7,1,0,4880.42578125
"980",3,1,58,1,18,NA,6,1,0,4375
"981",3,1,53,1,240,NA,6,1,0,4083.33325195312
"982",3,1,23,1,30,NA,7,1,0,NA
"983",3,1,73,6,18,NA,1,1,0,972.222229003906
"986",1,1,37,1,120,NA,3,1,0,4083.33325195312
"987",1,0,36,4,3,NA,1,1,0,1493.33337402344
"988",2,1,66,1,180,NA,4,1,0,4537.037109375
"989",2,0,47,1,36,NA,3,1,0,2500
"992",1,1,26,1,5,NA,7,1,0,2962.962890625
"993",1,0,23,1,1,NA,6,1,0,1037.03698730469
"994",3,0,45,1,82,NA,5,1,0,3266.66674804688
"995",3,1,27,1,36,NA,6,1,0,3266.66674804688
"996",3,0,25,1,36,NA,7,1,0,5146.94482421875
"997",1,1,26,1,3,NA,6,1,0,3888.88891601562
"1009",3,1,33,1,144,NA,7,1,0,6305.55517578125
"1010",3,0,30,1,18,NA,7,1,0,5670.3564453125
"1011",2,1,30,1,108,NA,6,1,0,8711.54296875
"1015",1,0,22,1,3,NA,5,1,0,3750
"1016",1,1,25,1,18,NA,5,1,0,2187.5
"1017",1,1,19,1,5,NA,5,1,0,2187.5
"1020",1,0,41,4,60,NA,4,1,0,NA
"1024",2,1,55,1,36,NA,3,1,0,1458.33337402344
"1026",1,1,48,1,36,NA,6,1,0,4375
"1027",1,0,35,1,36,NA,6,1,0,4375
"1028",3,1,37,1,0,NA,4,1,0,6250
"1029",3,0,36,6,6,NA,4,1,0,2160.49389648438
"1032",2,0,40,4,8,NA,6,1,0,4242.42431640625
